11063 150
0 31 6
0 32 7
32 104 8
0 96 3
96 122 1
96 39 3
104 66 4
96 117 8
104 119 7
122 65 1
122 136 6
104 131 8
32 149 3
104 36 4
36 68 5
149 91 3
119 78 2
66 19 6
122 108 3
39 87 7
66 93 3
78 146 3
68 141 4
131 143 3
32 53 6
141 20 4
117 83 2
91 9 3
146 95 6
131 142 1
20 86 2
0 102 7
146 137 4
117 57 7
143 13 3
39 123 5
123 97 9
19 69 3
19 7 4
66 51 1
123 100 5
100 72 5
69 30 9
123 3 4
7 145 5
19 84 3
7 74 3
0 106 7
68 38 3
106 75 3
84 50 4
0 126 6
86 10 1
91 64 6
32 46 8
141 45 9
117 4 1
53 71 9
9 18 4
126 52 1
123 90 8
18 110 7
32 56 9
72 28 4
9 60 1
53 101 3
13 138 6
108 139 2
64 133 1
142 61 1
19 76 2
19 35 9
100 11 3
76 79 7
56 85 6
149 127 8
72 17 4
72 89 1
71 14 6
141 24 7
146 42 5
85 73 4
46 98 9
11 112 8
141 147 7
60 5 9
142 26 9
141 40 2
20 67 3
71 144 2
87 37 5
75 25 9
4 70 6
52 44 3
76 134 3
104 81 9
50 48 9
142 22 2
106 140 3
141 92 2
142 105 1
123 116 4
93 59 8
68 118 9
87 132 7
105 29 4
78 15 9
85 121 3
10 62 8
50 58 7
53 6 5
0 41 1
31 27 9
96 109 3
14 103 4
68 8 8
4 2 1
71 113 5
116 125 2
86 120 1
40 130 4
27 12 9
32 54 5
65 128 4
44 99 8
20 94 8
68 115 8
71 82 6
84 63 7
73 80 1
71 107 9
39 55 1
66 135 9
14 33 4
29 47 4
11 34 6
26 1 6
20 114 5
14 16 3
119 88 2
112 23 8
92 124 8
85 111 4
0 21 3
32 43 9
1 77 2
98 49 4
84 148 6
20 129 2
40 70 1
146 81 3
50 30 2
44 113 2
23 111 2
91 7 1
63 110 4
96 33 4
104 18 4
72 27 2
131 17 1
30 24 1
128 29 1
112 129 4
125 66 1
70 84 2
142 41 1
64 52 2
50 98 3
51 102 1
49 112 2
104 145 2
100 112 4
125 123 3
66 119 2
87 127 2
129 55 2
4 105 3
55 141 3
73 19 2
17 85 2
15 60 4
124 123 2
14 89 4
39 134 2
101 75 4
28 105 2
106 114 4
114 127 3
125 135 2
42 52 3
148 125 1
34 141 3
64 46 1
3 93 4
121 99 4
60 37 2
82 29 1
31 4 1
75 59 4
97 132 2
64 28 2
85 76 3
142 62 4
44 80 1
21 113 2
6 11 4
108 87 2
106 129 1
97 100 2
55 100 2
69 11 4
28 0 3
140 54 1
139 10 4
73 89 3
72 116 4
101 34 3
20 116 1
138 4 1
6 79 3
93 102 1
105 87 2
117 144 1
147 11 3
62 19 1
102 91 2
145 26 3
54 90 3
1 123 3
22 10 1
28 43 2
139 34 2
112 108 1
88 89 4
68 55 4
71 96 1
11 13 1
52 63 3
147 104 3
146 125 1
137 24 1
44 47 3
6 63 2
96 57 4
37 125 3
74 10 2
127 67 1
10 126 4
145 68 3
133 33 2
52 133 2
76 128 2
40 65 4
7 144 1
123 36 4
13 63 3
27 111 2
123 126 4
149 94 3
105 1 4
35 131 1
46 28 2
54 120 3
101 72 1
49 12 2
25 124 1
8 139 3
112 113 1
128 49 4
107 24 2
112 35 2
78 38 3
27 83 1
139 126 4
14 52 1
27 41 2
111 33 1
104 46 3
54 116 2
107 105 3
27 81 3
149 9 4
134 100 1
111 56 3
135 102 4
136 32 2
50 2 4
71 20 2
110 47 2
57 53 3
43 78 2
146 57 3
58 87 2
136 29 1
111 41 4
102 5 4
24 104 1
135 93 4
141 113 4
52 148 2
105 132 3
127 17 1
99 84 3
35 143 2
32 125 4
38 145 4
97 82 3
11 59 4
101 147 4
123 42 1
90 7 3
146 124 1
61 24 4
52 12 4
124 119 4
115 62 1
147 64 4
7 31 4
83 45 4
2 107 2
81 118 3
148 127 3
133 17 4
61 9 2
102 47 3
147 114 3
35 138 3
118 30 4
131 74 3
145 0 1
149 118 2
28 131 2
17 132 3
76 113 2
52 54 4
98 48 3
102 42 2
12 103 4
52 16 3
136 52 3
127 84 4
79 4 1
108 147 1
30 127 2
37 4 3
82 140 1
33 30 1
68 80 3
117 103 3
106 37 1
25 112 3
90 99 4
15 87 4
72 112 2
74 141 3
1 129 2
91 145 3
95 5 4
46 110 1
133 146 3
145 123 3
137 61 1
102 61 1
23 146 2
110 71 4
48 81 1
6 138 3
74 44 1
55 41 4
126 14 2
127 48 4
11 124 1
11 108 1
72 5 3
133 38 3
77 10 3
35 18 2
67 38 2
15 34 2
39 59 4
114 41 4
128 9 4
8 16 3
127 18 3
94 89 4
48 132 4
29 5 3
29 4 2
16 86 3
23 47 4
145 113 2
53 18 3
133 63 4
4 110 4
3 67 3
19 28 2
117 128 3
77 122 3
135 31 3
54 138 3
52 60 3
91 90 4
93 116 3
136 9 2
10 131 2
85 31 3
105 33 2
83 60 4
83 48 2
96 108 3
29 71 2
41 115 3
108 51 2
14 58 1
140 22 2
91 79 3
84 7 1
72 50 2
77 27 3
147 5 2
3 63 2
136 25 2
102 144 3
119 47 2
138 137 1
127 4 1
80 61 4
73 40 3
84 122 2
11 76 4
5 7 3
123 76 3
62 6 2
115 93 3
97 70 2
13 92 4
7 97 1
118 90 2
141 110 3
62 59 2
14 104 1
118 4 4
12 121 3
80 82 3
19 81 1
88 140 2
54 39 4
122 35 2
78 137 4
149 17 3
37 96 2
11 64 3
147 27 1
139 102 3
19 29 1
20 1 4
139 12 1
109 87 3
125 84 2
39 69 4
63 103 1
38 5 2
96 93 2
138 87 3
141 106 3
126 100 1
92 23 3
105 101 2
118 57 1
56 124 2
115 145 1
100 139 4
125 55 1
107 28 4
79 75 4
38 16 3
41 9 4
89 87 1
96 13 1
97 114 3
65 142 2
1 24 2
45 39 4
123 74 4
10 142 4
149 93 2
5 48 3
36 13 3
25 1 4
124 29 2
141 29 2
33 52 4
149 71 3
83 51 3
82 21 1
59 74 2
115 73 4
133 51 4
148 77 1
1 12 3
42 134 2
13 108 2
108 65 4
87 110 4
107 37 4
124 58 1
51 68 1
131 144 3
88 61 2
68 72 2
116 109 1
27 100 2
82 147 2
1 132 2
62 38 4
128 18 3
3 147 4
41 120 1
145 71 3
144 20 2
104 77 4
54 114 1
108 9 3
120 40 3
116 70 4
125 33 1
120 115 3
80 123 2
134 40 4
95 73 3
66 142 1
45 62 2
76 132 4
111 100 2
12 46 1
83 93 1
43 12 2
148 60 4
70 30 3
0 51 4
57 27 2
146 15 3
44 134 4
12 87 2
128 58 3
117 84 4
1 112 1
82 11 2
116 75 1
55 113 3
10 78 2
28 47 3
12 108 1
5 51 3
103 123 3
115 137 1
90 145 2
92 10 3
140 76 1
4 122 3
107 134 4
47 56 2
81 113 2
21 95 4
79 65 1
99 146 4
114 78 2
11 27 4
142 24 3
35 135 3
96 59 1
57 128 1
19 37 4
21 77 3
47 132 1
64 44 2
110 94 1
58 143 2
24 57 4
14 122 2
103 86 1
110 49 3
105 103 2
41 133 3
62 96 1
108 2 1
55 84 2
115 72 4
52 113 1
27 133 4
146 100 2
31 120 3
120 107 1
25 101 3
6 70 2
111 30 1
125 64 3
45 112 4
81 1 3
