11063 150
0 17 4
17 43 8
0 20 1
20 128 3
43 41 3
43 9 7
9 106 5
20 37 2
41 75 4
0 59 1
0 105 5
59 93 7
75 89 2
89 142 8
89 134 8
93 137 8
17 116 2
37 68 3
17 21 4
128 148 1
37 87 4
41 132 9
89 61 4
132 91 1
43 100 8
134 38 2
37 147 7
68 29 4
89 62 8
21 84 8
9 47 1
47 149 5
134 114 3
128 63 9
17 80 9
41 118 2
20 42 7
87 115 5
0 70 8
20 10 2
38 13 9
106 85 7
63 30 5
106 82 8
114 4 5
115 131 5
9 135 3
137 55 3
128 51 1
87 96 2
41 130 5
80 36 9
130 86 3
114 50 2
131 54 6
118 73 1
85 76 9
135 112 5
128 124 2
51 40 7
59 28 5
28 121 1
37 120 6
91 88 4
121 3 2
75 122 3
135 16 4
137 39 8
20 133 9
84 48 2
118 136 3
10 12 2
75 126 5
131 113 6
47 1 4
105 34 8
118 31 9
63 15 3
4 79 5
21 127 1
47 101 4
114 72 3
133 69 8
36 45 9
133 144 5
124 104 6
1 98 9
80 35 6
54 19 1
101 94 8
48 64 5
64 5 9
149 23 7
21 66 9
59 110 4
45 33 9
51 107 9
48 7 8
1 78 6
120 27 4
10 53 3
126 71 4
89 11 5
38 95 8
112 52 1
34 26 5
47 102 4
120 67 2
128 125 5
4 83 6
33 57 8
67 123 8
120 46 4
148 129 6
26 146 1
121 24 1
87 99 3
5 119 1
42 81 4
41 108 2
21 143 3
0 65 1
73 74 4
3 49 4
102 77 8
7 145 4
52 103 9
73 139 5
13 90 4
49 111 8
35 6 2
90 92 1
34 2 2
73 25 8
85 56 8
106 58 8
119 22 1
17 60 8
146 97 2
125 141 9
71 140 8
27 117 2
107 138 1
76 109 1
58 8 9
122 32 6
92 14 8
128 44 7
84 18 5
108 25 3
54 117 1
111 95 3
45 117 4
107 77 3
138 6 2
36 98 3
39 35 3
28 131 1
129 114 3
121 45 2
146 121 4
98 28 4
140 42 1
76 78 1
53 67 2
23 90 4
70 58 3
123 65 3
144 37 1
32 7 4
57 14 1
82 33 1
75 86 2
96 6 4
101 17 3
83 145 4
52 18 2
124 87 1
19 37 3
135 30 3
14 13 2
126 114 3
42 142 4
11 27 1
37 76 3
98 14 1
141 19 4
42 121 4
147 25 3
123 52 1
126 93 2
30 84 1
9 93 1
142 146 1
99 43 3
66 105 3
29 104 4
44 57 1
118 51 4
51 117 1
105 142 3
64 61 3
25 17 2
32 77 3
102 97 2
67 102 4
19 86 1
64 90 4
10 71 1
16 137 2
52 38 3
65 90 4
53 136 1
132 70 2
37 146 3
127 31 1
125 90 4
65 33 2
109 115 1
20 99 1
47 37 1
115 82 2
127 86 3
71 147 1
73 38 3
124 16 4
96 29 4
38 25 1
94 111 3
45 60 4
55 100 3
84 140 1
81 143 1
77 52 3
85 69 3
42 148 3
87 44 2
1 149 4
127 51 4
61 30 1
145 82 1
145 17 1
68 60 4
36 97 4
82 97 4
143 101 2
63 92 3
13 56 2
76 140 2
95 29 2
103 75 1
46 72 1
67 29 3
81 48 3
27 130 4
69 39 2
66 37 4
70 63 2
104 21 3
55 111 2
90 116 4
37 35 1
87 23 4
68 63 4
104 16 1
10 139 2
50 79 3
67 55 3
107 50 2
146 64 4
130 139 2
118 66 1
75 82 1
106 55 3
54 64 4
54 88 3
28 132 3
26 45 4
11 24 4
83 87 4
70 17 4
143 24 3
17 34 2
21 76 3
125 8 1
53 15 1
15 93 1
96 127 1
56 38 1
68 78 2
67 36 3
107 148 2
28 49 1
99 94 2
49 146 4
5 11 4
122 26 1
38 115 2
94 82 2
52 135 2
91 67 3
38 22 4
72 147 1
93 146 1
86 69 4
44 89 2
7 51 4
100 37 1
141 37 3
62 73 1
48 0 2
125 91 2
121 90 4
137 143 3
27 80 1
149 119 3
45 148 1
2 25 3
140 30 2
71 49 1
126 102 1
116 144 1
28 42 2
117 91 1
76 15 4
46 64 1
62 130 1
35 16 3
100 145 2
65 99 2
63 0 2
88 18 1
16 111 1
59 137 3
147 116 4
134 49 2
90 117 3
22 8 4
128 89 4
96 118 4
108 134 4
69 10 3
78 89 3
67 14 1
148 71 1
77 56 1
61 42 1
92 126 2
93 56 1
138 123 1
53 40 2
63 89 4
11 93 1
117 37 1
48 141 2
34 69 2
146 69 1
124 7 1
38 76 3
131 45 2
58 22 3
129 104 2
105 4 4
100 98 3
118 87 2
87 119 1
12 136 4
124 32 1
16 126 4
107 135 2
78 129 2
39 53 2
40 147 1
148 14 1
38 86 4
75 21 3
25 105 2
112 30 2
15 68 4
81 62 3
58 121 2
47 106 1
91 123 2
47 107 3
16 41 1
95 55 1
47 139 1
1 30 1
144 112 4
33 124 3
100 11 2
95 3 1
54 91 1
25 34 3
58 28 4
94 34 4
77 83 4
33 132 4
76 142 3
28 127 1
50 120 2
74 134 4
17 23 3
8 16 1
64 149 1
129 135 2
82 117 1
80 145 3
95 62 1
129 122 3
78 0 3
95 24 4
30 148 2
110 6 4
80 54 3
76 102 4
142 99 2
112 64 1
106 30 2
79 84 1
24 2 1
115 29 4
43 92 4
79 34 2
101 117 2
62 82 2
59 109 3
100 10 1
9 5 1
29 122 3
21 67 2
83 142 1
30 93 4
118 8 3
51 110 3
138 51 2
128 10 1
3 21 4
34 83 3
126 131 4
68 138 3
108 21 2
39 76 4
73 19 4
44 117 2
116 72 4
24 7 4
117 35 2
129 20 1
145 12 1
132 22 4
71 85 2
96 146 3
135 67 1
130 28 1
137 63 2
77 0 4
37 67 3
94 81 3
104 86 3
144 120 3
53 118 1
52 62 3
99 109 3
109 94 1
73 140 1
111 42 1
111 134 2
94 8 3
131 125 3
77 34 4
29 50 1
123 126 3
140 14 4
55 132 2
90 95 1
25 50 3
21 146 4
