4975 200
0 39 8
39 75 6
0 133 5
0 132 9
132 22 6
39 30 2
75 169 6
30 108 8
0 27 2
22 89 7
75 36 7
133 181 1
75 103 1
169 49 9
22 190 8
27 152 9
49 145 5
89 24 5
27 116 4
133 115 2
36 144 7
115 183 4
24 80 3
116 122 7
145 21 3
115 96 1
144 136 7
190 92 7
116 99 1
39 73 5
49 1 1
21 120 9
73 40 4
108 19 7
116 163 5
92 155 5
163 45 1
45 196 4
108 195 9
133 170 6
145 86 2
152 124 9
144 7 3
40 18 7
195 25 6
124 102 3
169 168 1
75 12 7
36 150 9
169 147 9
99 189 1
124 95 9
36 178 4
21 65 6
178 90 8
12 61 4
120 76 7
95 8 6
115 4 5
147 23 2
189 158 2
75 154 3
76 52 1
18 104 5
170 15 2
116 100 6
8 64 4
25 63 5
15 33 6
92 91 1
27 72 8
24 128 3
183 137 2
108 35 1
61 9 5
65 109 7
72 107 1
103 26 2
107 20 3
163 161 6
4 194 4
45 44 8
100 112 8
107 140 3
15 177 7
20 31 4
65 186 5
107 10 2
26 188 7
178 171 2
163 55 8
136 77 4
150 66 2
77 139 7
90 199 8
190 166 1
30 167 5
77 11 3
55 198 6
25 126 2
26 160 3
120 70 4
166 129 9
122 37 9
129 110 6
31 187 2
133 53 5
187 88 2
53 191 9
183 157 2
49 57 4
45 59 3
39 127 4
163 175 2
92 185 6
22 131 7
70 121 6
39 17 9
86 94 8
133 41 8
11 2 6
155 46 4
133 173 9
55 98 6
102 56 2
103 130 1
186 13 8
20 114 4
185 111 1
145 32 2
161 54 8
122 162 6
20 142 5
21 82 2
150 79 9
100 119 5
158 62 3
121 43 6
145 6 6
110 84 3
37 105 3
181 118 7
0 117 3
55 134 4
96 151 2
163 87 6
76 42 9
92 184 7
188 60 9
77 125 5
196 69 3
119 193 7
139 179 3
147 74 4
19 71 8
23 135 4
98 123 9
71 172 4
37 48 1
27 5 5
19 148 9
131 83 9
5 3 5
84 67 9
124 68 7
27 29 7
189 85 6
111 141 3
173 113 6
191 156 5
175 78 8
92 81 2
128 14 5
198 182 1
29 34 4
109 164 9
27 106 4
102 153 5
30 143 1
191 50 6
108 180 7
40 149 2
199 101 5
105 174 1
0 51 4
51 192 7
171 28 7
88 176 7
131 47 6
109 93 8
163 97 1
26 16 5
33 38 5
185 138 5
131 197 8
126 58 3
149 165 9
104 146 7
12 159 5
111 81 1
108 190 3
82 98 1
185 164 1
144 3 3
12 23 2
95 196 2
127 125 1
117 62 3
195 186 1
43 79 3
126 92 1
101 113 4
87 188 4
184 127 3
75 62 2
17 147 3
41 129 4
54 132 3
79 42 1
176 192 3
54 63 3
86 80 1
30 162 1
178 134 1
146 164 2
70 136 1
140 175 2
77 23 2
119 128 2
126 93 1
148 109 4
167 16 2
90 32 1
171 2 2
117 164 2
73 115 3
69 111 1
99 154 2
187 12 1
35 141 3
123 18 2
177 176 3
141 48 2
182 63 1
126 175 3
171 85 2
26 167 2
124 130 3
91 135 3
78 21 2
112 180 4
178 170 1
96 75 2
150 131 2
93 129 1
136 45 4
110 34 3
96 122 4
57 126 1
53 175 4
36 119 2
127 43 1
83 161 1
152 21 3
23 172 2
170 20 4
151 161 4
59 60 3
124 37 2
184 12 2
103 91 1
106 128 4
148 59 4
12 76 3
105 197 1
135 137 4
150 195 1
198 96 3
75 58 2
60 122 3
88 132 2
90 34 1
17 28 3
177 47 1
75 30 4
190 149 4
167 147 4
163 151 3
40 111 1
153 16 1
93 186 3
86 193 3
125 83 3
94 84 3
156 29 2
140 46 4
146 6 2
