31188 500
0 197 5
1 200 5
2 339 2
3 255 5
4 324 3
5 53 1
6 195 4
7 209 3
8 19 4
9 151 6
10 271 5
11 381 6
12 236 9
13 286 7
14 189 7
15 151 4
16 432 8
17 214 6
18 303 8
19 83 4
20 473 8
21 133 8
22 75 9
23 199 2
24 84 6
25 35 3
26 140 3
27 1 2
28 76 4
29 40 6
30 457 8
31 250 5
32 326 8
33 82 9
34 303 8
35 71 6
36 491 7
37 282 7
38 141 8
39 53 1
40 240 1
41 450 3
42 203 4
43 393 1
44 153 3
45 101 1
46 445 3
47 276 9
48 394 9
49 184 3
50 246 9
51 353 2
52 272 9
53 289 2
54 256 6
55 435 3
56 259 6
57 209 1
58 265 8
59 173 3
60 14 1
61 71 8
62 186 6
63 8 8
64 218 9
65 446 5
66 432 3
67 272 6
68 244 3
69 461 8
70 285 5
71 299 2
72 240 2
73 467 4
74 196 8
75 51 1
76 48 7
77 451 1
78 294 1
79 248 6
80 89 7
81 481 2
82 30 9
83 206 7
84 461 6
85 272 2
86 433 1
87 329 3
88 8 8
89 146 4
90 337 3
91 371 7
92 404 2
93 118 7
94 7 1
95 446 8
96 311 7
97 311 4
98 328 1
99 4 8
100 371 8
101 249 6
102 5 7
103 65 7
104 459 6
105 228 8
106 278 9
107 351 2
108 206 6
109 470 2
110 269 2
111 389 3
112 415 1
113 73 6
114 410 1
115 414 9
116 233 6
117 86 7
118 294 7
119 294 6
120 396 1
121 438 3
122 13 1
123 439 5
124 416 9
125 373 6
126 93 6
127 409 8
128 387 5
129 488 1
130 409 3
131 375 8
132 294 9
133 488 1
134 416 2
135 327 1
136 309 4
137 81 1
138 300 4
139 455 9
140 83 8
141 302 8
142 399 5
143 182 8
144 352 5
145 410 4
146 96 6
147 458 9
148 486 9
149 405 3
150 421 6
151 2 4
152 220 9
153 177 8
154 2 2
155 236 4
156 78 5
157 15 7
158 497 6
159 201 8
160 15 2
161 438 3
162 355 1
163 35 3
164 39 4
165 40 5
166 378 4
167 54 4
168 138 9
169 168 1
170 436 3
171 196 4
172 222 4
173 160 1
174 51 6
175 195 8
176 489 5
177 325 6
178 384 7
179 240 3
180 185 1
181 368 6
182 416 4
183 112 1
184 316 4
185 257 2
186 304 6
187 296 1
188 215 4
189 277 3
190 377 2
191 388 2
192 29 4
193 24 8
194 108 5
195 252 2
196 10 7
197 478 5
198 310 5
199 238 6
200 264 9
201 411 7
202 289 3
203 339 3
204 429 4
205 414 7
206 8 7
207 474 9
208 185 2
209 115 5
210 264 3
211 280 3
212 276 9
213 344 3
214 445 9
215 172 9
216 274 7
217 255 2
218 362 5
219 369 8
220 347 7
221 67 5
222 494 1
223 191 3
