9950 200
0 95 1
95 122 7
122 137 2
95 179 9
0 81 8
137 39 6
0 184 5
39 104 5
81 40 7
81 163 3
0 153 4
0 180 4
0 138 6
179 37 7
137 146 3
0 185 3
39 150 5
81 128 4
122 9 8
179 148 5
184 131 4
95 28 2
39 140 6
104 106 8
185 147 1
138 15 1
180 151 9
137 54 1
106 130 7
15 57 9
57 45 6
37 32 2
147 182 6
39 20 1
128 12 1
32 71 7
15 53 5
128 33 1
45 183 9
71 196 1
104 154 1
185 97 2
163 172 5
128 90 3
90 156 5
153 92 9
9 193 5
104 136 6
131 79 6
137 198 2
95 51 1
53 152 9
130 48 7
152 11 8
33 121 6
179 197 4
128 160 3
150 178 2
150 102 2
102 117 8
40 43 1
51 38 6
45 168 7
168 112 2
182 145 4
179 124 8
106 77 3
92 188 1
97 62 6
188 66 7
136 175 4
71 105 1
122 17 4
185 159 8
95 103 5
197 7 3
183 16 9
62 25 2
148 42 8
160 132 1
184 176 8
145 58 2
130 5 8
121 14 9
136 64 7
39 21 5
0 56 7
28 158 9
153 93 1
28 98 3
148 6 8
150 101 7
178 113 7
131 86 3
140 141 5
131 60 6
197 22 4
137 115 7
20 139 3
98 75 8
21 126 7
121 1 1
75 24 5
20 30 6
81 190 6
197 167 2
45 34 4
102 47 5
12 181 6
64 174 4
14 133 8
138 27 3
137 2 4
184 84 3
15 169 6
14 195 5
103 199 5
199 171 7
92 8 7
188 129 2
81 76 7
112 29 2
129 89 6
113 191 3
34 3 6
45 55 9
21 67 9
48 119 8
163 144 2
9 120 6
181 13 4
131 18 3
179 107 1
89 50 9
129 135 6
58 177 3
175 87 6
121 85 4
18 109 8
132 187 7
144 83 7
115 110 6
45 96 5
147 155 5
122 73 1
15 68 4
8 91 8
85 116 7
75 23 8
38 88 3
150 164 9
101 143 6
196 165 6
181 41 2
180 192 8
54 35 3
160 70 5
97 19 3
34 99 2
33 44 4
109 118 1
124 65 8
119 186 6
193 74 2
139 170 6
56 52 2
163 46 3
169 111 4
37 82 6
30 189 5
180 123 8
77 72 4
184 31 6
177 173 3
87 94 6
191 114 9
105 127 9
7 26 9
152 134 7
134 78 2
9 80 3
24 162 3
119 161 9
0 149 7
103 36 4
22 49 7
114 69 3
68 108 2
179 125 7
159 59 1
88 142 2
55 10 1
51 157 3
77 194 4
25 63 5
16 61 6
139 100 5
95 4 1
25 166 6
99 26 4
31 138 4
126 19 2
96 5 4
72 157 3
