5588 150
0 81 1
0 59 7
59 146 7
0 72 3
146 131 2
81 98 1
0 95 1
95 123 1
81 141 4
0 10 5
10 133 3
131 61 8
133 74 5
123 3 4
133 69 5
10 80 3
98 27 8
27 109 4
10 88 2
141 62 8
81 106 6
95 68 3
68 5 5
10 102 7
72 119 6
131 93 4
68 18 7
131 110 6
146 34 9
146 48 8
98 108 1
102 117 9
133 84 3
102 30 1
61 43 7
27 73 7
88 94 5
102 67 4
10 6 1
84 137 4
106 126 9
73 42 5
30 122 3
102 49 7
88 121 2
93 1 5
0 55 7
108 16 8
102 76 8
74 128 9
5 111 9
119 66 7
109 87 2
5 104 3
49 107 2
133 140 4
0 4 8
27 23 1
34 136 7
30 64 7
27 50 7
50 138 1
16 54 7
76 105 8
64 26 4
121 79 1
54 19 7
119 7 6
68 134 6
110 125 2
16 14 2
136 113 7
73 9 7
105 139 5
62 90 3
26 118 2
122 12 3
79 45 3
109 46 3
16 144 8
14 99 3
84 75 8
23 129 7
140 51 5
81 65 4
134 92 9
117 35 1
43 40 1
7 39 6
141 57 2
1 83 5
45 71 4
93 15 2
42 11 4
0 17 4
128 124 5
111 28 6
111 8 5
39 25 5
65 112 9
12 149 3
5 22 2
124 135 5
138 44 1
54 78 1
105 36 4
102 20 2
113 142 7
126 89 3
68 127 2
62 13 6
134 53 5
83 29 5
110 47 7
135 85 3
46 143 3
123 91 4
85 37 5
123 41 7
37 58 4
118 70 1
79 115 9
8 101 2
73 97 8
90 145 2
110 32 5
140 82 9
143 120 9
94 77 2
104 52 4
37 147 4
85 63 9
101 130 3
143 31 1
137 86 8
111 116 4
26 100 8
130 24 3
144 33 2
85 114 1
80 132 3
31 60 8
44 56 1
79 103 3
3 2 5
6 148 3
19 96 4
84 21 2
74 38 3
79 14 3
7 82 2
133 58 2
36 104 1
105 75 3
96 6 4
40 81 2
103 102 1
139 29 2
56 19 3
120 20 2
122 108 3
28 92 4
48 141 4
55 107 2
52 27 4
80 122 2
139 38 3
11 58 1
53 8 3
62 56 4
83 105 1
16 4 1
121 52 2
54 67 4
92 2 1
144 86 3
132 18 4
102 83 4
86 16 3
128 103 2
146 130 3
131 57 3
25 126 4
84 33 1
4 58 4
138 69 3
13 135 3
130 23 2
16 143 3
37 83 4
77 107 2
29 5 1
133 87 3
90 106 1
81 17 1
105 11 3
32 78 4
136 89 3
112 137 4
94 73 4
99 139 3
111 125 2
95 70 3
94 35 1
87 23 3
3 5 1
21 15 4
120 148 4
142 24 2
86 33 4
46 3 2
115 134 4
1 27 2
16 55 1
6 9 4
18 86 4
125 5 3
21 6 1
73 134 1
99 147 1
61 98 2
52 103 4
137 116 3
67 126 1
10 147 1
29 43 2
141 29 4
2 10 2
102 8 2
55 116 4
148 16 1
131 143 3
105 112 2
109 115 4
7 52 3
122 50 3
7 50 1
104 84 2
136 23 1
141 116 2
146 136 3
107 141 1
149 99 1
111 56 3
18 72 2
70 103 3
44 62 1
131 71 3
133 79 2
52 69 3
59 130 3
29 105 1
98 0 4
81 130 3
87 78 3
74 114 2
39 106 3
33 102 2
23 88 1
144 78 2
76 79 3
19 103 3
58 73 1
35 113 1
111 120 2
138 73 3
11 100 4
69 106 4
94 137 2
136 49 1
29 0 1
47 121 2
54 26 2
9 134 1
24 74 4
73 29 4
84 95 1
85 67 1
68 90 1
102 106 2
28 80 2
50 93 1
36 63 2
47 105 2
90 39 1
123 10 4
28 31 3
85 108 1
144 76 3
122 79 3
107 103 1
147 128 4
15 32 3
84 138 3
42 78 4
48 58 1
147 129 4
54 2 1
122 23 4
1 45 4
31 100 3
127 90 3
59 64 3
122 112 4
50 28 2
38 12 1
149 115 2
74 134 3
127 88 1
101 149 4
6 67 3
17 69 4
8 24 2
87 139 3
77 22 3
140 137 1
54 140 1
74 46 1
130 53 1
54 137 3
22 137 2
42 59 1
37 30 4
88 103 2
147 65 4
31 123 2
137 143 1
21 109 2
76 22 3
125 65 2
48 144 4
79 30 4
99 101 3
51 89 3
25 119 4
107 117 2
76 143 2
51 28 1
51 145 1
145 117 4
56 11 1
58 35 2
131 145 4
127 120 2
46 17 2
138 66 2
93 3 2
128 32 4
19 15 3
84 89 2
100 12 1
106 139 1
116 59 4
128 81 3
6 77 4
86 85 1
62 9 3
147 79 3
18 136 1
44 140 2
31 109 4
111 72 1
122 29 1
57 40 3
96 23 4
88 145 4
92 31 1
106 15 1
127 148 4
24 87 3
0 3 1
71 52 2
120 87 4
13 78 3
38 140 2
28 74 4
32 90 3
88 17 2
59 72 2
97 122 1
53 141 1
4 70 2
142 26 2
110 37 2
